hash;designacion;pais1,pais2...;peso;claseArmamento;PenCerca,PenMedia,PenLejos;Calibre;Municion
GER-GUN-L24;7.5cm KwK 37 L/24;GER,JAP,SWE;490;HOWITZER;41,39,35;75;AP
GER-GUN-L43;7.5cm KwK 40 L/43;GER,JAP,SWE;700;CANNON;99,91,82;75;APHE
GER-GUN-L48;7.5cm KwK 40 L/48;GER,JAP;750;CANNON;106,96,85;75;APHE
GER-GUN-LEF;10.5cm leFH 18/40;GER,FRA;1895;HOWITZER;139,139,139;105;HEAT
USA-GUN-M3A;M3 75mm Gun;USA,GBR,FRA,ITA,SWE,CHN;690;CANNON;102,95,86;75;APHE
USA-GUN-M17;M1 76mm Gun;USA,GBR,FRA,ITA,CHN;780;CANNON;124,122,116;76;APHE
USA-GUN-M05;M2 105mm Howitzer;USA,GBR,FRA,CHN;1600;HOWITZER;143,143,143;105;HEAT
